NAME,ADDRESS,CITY,STATE,ZIP,TYPE,LATITUDE,LONGITUDE,WEBSITE,TTL_STAFF,BEDS,TRAUMA,HELIPAD,IP Address,No of Access Points connected,Patients,Suggestive_Factor,Recommended
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIDLAND/ODESSA,1800 HERITAGE BOULEVARD,MIDLAND,TX,79707,REHABILITATION,31.99956331,-102.155948211,http://www.healthsouthmidland.com,140,60,0.22019021259901100,0,121.202.130.239,102,82,0.7347233038009930,No
ENCOMPASS HEALTH HOSPITAL OF ROUND ROCK,1400 HESTER'S CROSSING,ROUND ROCK,TX,78681,REHABILITATION,30.483523301,-97.693435091,http://reliantcentraltx.com/,48,75,0.8262455319696850,0,53.235.94.87,49,29,2.5534319217517900,Yes
WARM SPRINGS REHABILITATION HOSPITAL OF SAN ANTONIO,5101 MEDICAL DRIVE,SAN ANTONIO,TX,78229,REHABILITATION,29.513908988,-98.586958152,http://postacutemedical.com/our-facilities/outpatient-rehabilitation/warm-springs-rehabilitation-hospital-san-antonio/,148,65,0.3258954817535070,0,166.157.71.201,76,56,1.6967487612849200,Yes
CHRISTUS ST. MICHAEL REHABILITATION HOSPITAL,2400 ST MICHAEL DRIVE,TEXARKANA,TX,75504,REHABILITATION,33.465030552,-94.0707252239999,http://www.christusstmichael.org/rehab,113,50,0.33757616644792200,0,8.115.39.137,47,27,4.043959550988020,Yes
UT HEALTH EAST TEXAS REHABILITATION HOSPITAL,701 OLYMPIC PLAZA CIRCLE,TYLER,TX,75701,REHABILITATION,32.3368877570001,-95.291955996,http://www.etmc.org,95,49,0.08865351165091310,1,158.238.56.109,62,42,1.863771200269900,Yes
BAYLOR INSTITUTE FOR REHABILITATION AT FORT WORTH,6601 HARRIS PARKWAY,FORT WORTH,TX,76132,REHABILITATION,32.6542103360001,-97.418038376,http://www.baylorhealth.com/physicianslocations/bir/pages/default.aspx?cmpid=r_rehab,60,42,0.8401561015308460,0,234.175.40.10,38,18,4.308966939654310,Yes
BAYLOR INSTITUTE FOR REHABILITATION AT FRISCO,2990 LEGACY DRIVE,FRISCO,TX,75034,REHABILITATION,33.102954192,-96.8403865289999,http://www.baylorhealth.com/physicianslocations/bir/inpatientlocationsprograms/birfrisco/pages/default.aspx,113,44,0.2574305596278310,0,221.156.255.57,117,97,0.3929303930034150,No
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CYPRESS,13031 WORTHAM CENTER DRIVE,HOUSTON,TX,77065,REHABILITATION,29.9203379570001,-95.61340961,www.healthsouth.com,101,60,0.5003997236101380,0,49.39.236.199,193,173,0.35143946219265300,No
ENCOMPASS HEALTH REHABILITATION HOSPITAL THE VINTAGE,20180 CHASEWOOD PARK DRIVE,HOUSTON,TX,77070,REHABILITATION,29.9901765500001,-95.5711086379999,http://www.healthsouththevintage.com/,136,60,0.7110119636568810,0,164.58.113.110,69,49,2.054797943511070,Yes
CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35055,GENERAL ACUTE CARE,34.2013271970001,-86.805729571,http://www.crmchospital.com,88,145,0.6193305896995340,1,170.46.191.15,74,54,2.997593964259920,Yes
WARM SPRINGS REHABILITATION HOSPITAL OF THOUSAND OAKS,14747 JONES MALTSBERGER ROAD,SAN ANTONIO,TX,78247,REHABILITATION,29.576365556,-98.444854838,http://postacutemedical.com/our-facilities/outpatient-rehabilitation/warm-springs-rehabilitation-hospital-thousand-oaks/,85,34,0.04150202175198300,0,30.100.129.142,120,100,0.16525101087599200,No
CENTRAL TEXAS REHABILIATION HOSPITAL,700 WEST 45TH STREET,AUSTIN,TX,78751,REHABILITATION,30.3122704800001,-97.734793369,http://www.khrehabcentraltexas.com/,77,51,0.9635052426231630,1,89.172.105.83,149,129,1.0997443285407100,Yes
TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,800 W. RANDOL MILL RD.,ARLINGTON,TX,76012,SPECIAL,32.748815316,-97.1156069799999,http://www.texashealth.org/arlington,149,48,0.3310956755989810,0,246.242.117.160,29,9,44.313695985947600,Yes
CHRISTUS SOUTHEAST TEXAS ORTHOPEDIC SPECIALTY CENTER,3650 LAUREL AVENUE,BEAUMONT,TX,77707,SPECIAL,30.083382783,-94.139808402,http://beaumontbone.com/,40,6,0.20248617100368400,0,73.137.185.199,97,77,0.12148258626082300,No
TEXAS ORTHOPEDIC HOSPITAL,7401 SOUTH MAIN STREET,HOUSTON,TX,77030,SPECIAL,29.7002119370001,-95.409068595,http://www.texasorthopedic.com,69,49,0.402666986744316,0,24.240.163.240,24,4,105.85758349337200,Yes
BAYLOR SCOTT AND WHITE THE HEART HOSPITAL PLANO,1100 ALLIED DRIVE,PLANO,TX,75093,SPECIAL,33.0145994910001,-96.789394895,http://www.thehearthospital.com,105,116,0.5467141130833090,1,103.143.214.194,191,171,0.9816262675809490,No
TEXAS INSTITUTE FOR SURGERY AT TEXAS HEALTH PRESBYTERIAN DALLAS,7115 GREENVILLE AVENUE,DALLAS,TX,75231,SPECIAL,32.87687764,-96.762261574,http://www.texasinstituteforsurgery.com,50,9,0.7505684593254960,0,46.133.221.116,171,151,0.38515221790887800,No
THE CORPUS CHRISTI MEDICAL CENTER - THE HEART HOSPITAL,7002 WILLIAMS DRIVE,CORPUS CHRISTI,TX,78413,SPECIAL,27.692734536,-97.345761648,http://ccmedicalcenter.com/,110,72,0.980920109307029,0,41.214.44.20,171,151,0.6641366477853950,No
WISE HEALTH SURGECAL HOSPITAL,3200 NORTH TARRANT PARKWAY,FORT WORTH,TX,76177,SPECIAL,32.896877993,-97.3129055489999,https://www.parkwaysurgicalhospital.com/,111,12,0.4854669030853640,0,219.161.208.43,102,82,0.34178163714648900,No
ST DAVIDS SURGICAL HOSPITAL A CAMPUS OF NORTH AUSTIN MEDICAL CTR,1201 W LOUIS HENNA BLVD,AUSTIN,TX,78681,SPECIAL,30.4771409590001,-97.6904586209999,http://stdavids.com/,122,46,0.3917449521100530,1,72.66.97.66,140,120,0.8907335871661380,No
CURAHEALTH HOSPITAL OF TUCSON,355 NORTH WILMOT,TUCSON,AZ,85711,LONG TERM CARE,32.2256468420001,-110.85851627,http://www.khtucson.com,116,51,0.3397613723663490,1,223.253.79.74,155,135,0.8321852129321460,No
PALO VERDE BEHAVIORAL HEALTH,2695 NORTH CRAYCROFT ROAD,TUCSON,AZ,85712,PSYCHIATRIC,32.2559376840001,-110.876118778,NOT AVAILABLE,113,48,0.9988455137713370,1,88.111.74.250,197,177,1.0859879201529300,Yes
"NOLAND HOSPITAL SHELBY, LLC",1000 FIRST STREET NORTH,ALABASTER,AL,35007,LONG TERM CARE,33.253385521,-86.812987092,NOT AVAILABLE,106,52,0.32925075920803100,0,227.28.177.143,85,65,0.8169330719117080,No
ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,GENERAL ACUTE CARE,34.793858034,-87.682850174,http://www.chgroup.org/ecm/,103,358,0.6296184324514050,1,181.126.1.4,166,146,1.6797463526490500,Yes
GUNDERSEN ST JOSEPHS HLTH SVCS,400 WATER AVE,HILLSBORO,WI,54634,GENERAL ACUTE CARE,43.6487260820001,-90.34520407,http://www.stjhealthcare.org,45,25,0.5015773470102630,1,77.136.86.150,138,118,0.7911865476792190,No
MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,GENERAL ACUTE CARE,34.3649133480001,-86.421351527,http://www.mmcenters.com,114,90,0.6520588425977520,0,248.144.189.86,46,26,7.914786817748580,Yes
CAVHCS WEST CAMPUS,215 PERRY HILL RD,MONTGOMERY,AL,36109,MILITARY,32.3769911360001,-86.2436852179999,http://www.centralalabama.va.gov/,107,-999,0.2212229048404400,0,20.170.7.61,20,0,-inf,No
DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,"1874 BELTLINE ROAD, S.W.",DECATUR,AL,35601,GENERAL ACUTE CARE,34.5768967860001,-87.0158086599999,http://www.decaturgeneral.org/,70,108,0.1516804707760130,0,45.52.71.61,20,0,inf,Yes
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,801 GOODYEAR AVENUE,GADSDEN,AL,35903,REHABILITATION,34.0067412230001,-85.968488438,http://www.healthsouthgadsden.com/,144,44,0.8213128190287530,0,130.89.162.22,56,36,2.855100853958820,Yes
FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36302,GENERAL ACUTE CARE,31.237429987,-85.45704246,http://www.flowershospital.com,110,235,0.10328349040796300,1,217.45.190.52,150,130,1.3164346446122700,Yes
DEKALB REGIONAL MEDICAL CENTER,200 MEDICAL CENTER DRIVE,FORT PAYNE,AL,35968,GENERAL ACUTE CARE,34.4412798390001,-85.756218367,http://www.dekalbregional.com,50,134,0.17396411348133000,0,196.238.90.174,88,68,0.8114630255987970,No
RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,GENERAL ACUTE CARE,32.9302132720001,-85.969566148,http://www.russellmedcenter.com/index.aspx,112,81,0.8960189942303680,0,218.72.114.191,174,154,0.6392727792875570,No
GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,GENERAL ACUTE CARE,33.43293355,-86.717441464,http://www.grandviewhealth.com/grandview/default.aspx,133,372,0.17018879927219700,0,245.86.88.84,178,158,1.0760413632637200,Yes
WAHIAWA GENERAL HOSPITAL,128 LEHUA ST,WAHIAWA,HI,96786,GENERAL ACUTE CARE,21.498901114,-158.025913732,http://www.wahiawageneral.org,58,160,0.22016621466628400,1,177.199.243.147,173,153,0.8082974693306640,No
KAHI MOHALA,91-2301 FORT WEAVER RD,EWA BEACH,HI,96706,PSYCHIATRIC,21.373936868,-158.034026541,http://www.kahimohala.org,119,66,0.5367491008898670,0,230.105.142.169,151,131,0.4972073690452480,No
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 NINTH AVENUE SOUTHWEST,BESSEMER,AL,35021,GENERAL ACUTE CARE,33.3718483100001,-86.990748485,http://www.medicalwesthospital.org,120,310,0.5740697261922650,0,45.245.44.54,171,151,1.1027885581095100,Yes
HILO MEDICAL CENTER,1190 WAIANUENUE AVE,HILO,HI,96720,GENERAL ACUTE CARE,19.718139702,-155.112841874,http://www.hmc.hhsc.org,70,276,0.072620184829843,1,209.179.240.222,84,64,2.8947085299149200,Yes
CHEROKEE MENTAL HEALTH INSTITUTE,1200 WEST CEDAR STREET,CHEROKEE,IA,51012,PSYCHIATRIC,42.757162851,-95.5726143109999,http://www.dhs.state.ia.us,150,58,0.21501152664068200,1,101.4.134.110,167,147,0.8088107751209800,No
SANFORD SHELDON MEDICAL CENTER,118 NORTH 7TH AVENUE,SHELDON,IA,51201,CRITICAL ACCESS,43.1871186160001,-95.84643707,http://www.sanfordsheldon.org,90,25,0.9371654290855690,0,58.15.100.48,68,48,0.9568639645427850,No
MERCY MEDICAL CENTER-CLINTON,1410 NORTH 4TH STREET,CLINTON,IA,52732,GENERAL ACUTE CARE,41.861501821,-90.189015528,http://www.mercyclinton.com,101,175,0.49118692442086100,0,240.71.96.136,120,100,1.1293434622104300,Yes
CENTRAL COMMUNITY HOSPITAL,901 DAVIDSON STREET NORTHWEST,ELKADER,IA,52043,CRITICAL ACCESS,42.856670088,-91.4075728729999,http://www.centralcommunityhospital.com,127,25,0.4718370370491940,1,144.174.43.32,171,151,0.8055426578167330,No
MARENGO MEMORIAL HOSPITAL,"300 MAY STREET, BOX 228",MARENGO,IA,52301,CRITICAL ACCESS,41.802126168,-92.073517108,http://www.marengohospital.org,87,25,0.9831300013716870,1,145.165.126.179,136,116,1.072383966203090,Yes
NORTH IOWA MEDICAL CENTER WEST CAMPUS,910 NORTH EISENHOWER AVENUE,MASON CITY,IA,50401,GENERAL ACUTE CARE,43.1555603210001,-93.264376537,http://www.mercynorthiowa.com,127,240,0.3958692539524760,1,90.245.209.173,165,145,1.4227859943959800,Yes
MENTAL HEALTH INSTITUTE,1200 EAST WASHINGTON STREET,MOUNT PLEASANT,IA,52641,PSYCHIATRIC,40.95554287,-91.535949375,http://www.dhs.state.ia.us,122,78,0.4362744840004220,1,245.2.150.240,56,36,4.389433538296510,Yes
BEAR LAKE MEMORIAL HOSPITAL,164 SOUTH FIFTH STREET,MONTPELIER,ID,83254,GENERAL ACUTE CARE,42.316163073,-111.30027387,http://www.blmhospital.com,87,21,0.20948308778942500,0,106.120.10.124,102,82,0.24059817685128600,No
NORTHWEST SPECIALTY HOSPITAL,1593 EAST POLSTON AVENUE,POST FALLS,ID,83854,GENERAL ACUTE CARE,47.7154556780001,-116.924388547,http://www.northwestspecialtyhospital.com/,82,34,0.28339805421531600,1,5.194.149.6,101,81,0.8541666387522250,No
GUNDERSEN TRI COUNTY MEM HSPTL,18601 LINCOLN ST PO BOX 65,WHITEHALL,WI,54773,GENERAL ACUTE CARE,44.3643262520001,-91.318749501,http://www.tricountymemorial.org/index.html,68,25,0.22235915344147200,1,3.154.118.172,128,108,0.6840533764463870,No
TREASURE VALLEY HOSPITAL,8800 WEST EMERALD STREET,BOISE,ID,83704,GENERAL ACUTE CARE,43.6126192670001,-116.290926014,http://treasurevalleyhospital.com/,149,10,0.3794581655416670,1,163.227.78.249,89,69,0.8462088139197520,No
CHI HEALTH LAKESIDE,16901 LAKESIDE HILLS CT,OMAHA,NE,68130,GENERAL ACUTE CARE,41.2377526450001,-96.180395,http://www.chihealth.com/chi-health-lakeside,96,157,0.14164104435078400,1,96.42.50.74,12,-8,118.3208205221750,Yes
ANNA HOSPITAL CORPORATION - DBA UNION COUNTY HOSPITAL,517 NORTH MAIN STREET,ANNA,IL,62906,CRITICAL ACCESS,37.465026628,-89.2455412,http://www.unioncountyhospital.com,67,47,0.477729683239035,1,10.74.185.239,178,158,0.8019356636031740,No
GOTTLEB CO HEALTH SERVICES CORPORATION DBA MACNEAL HOSPITAL,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,60402,GENERAL ACUTE CARE,41.8319833210001,-87.792156701,http://www.macneal.com,55,371,0.9988612355828250,1,39.236.20.250,137,117,1.7447370682260700,Yes
COMMUNITY FIRST HEALTHCARE OF ILLINOIS DBA MEDICAL CENTER,5645 W ADDISON,CHICAGO,IL,60634,GENERAL ACUTE CARE,41.945445508,-87.7678359129999,http://www.presencehealth.org,145,279,0.7803941445178230,1,20.222.8.200,65,45,10.8790859611478,Yes
VIBRA HOSPITAL OF SAN DIEGO,555 WASHINGTON STREET,SAN DIEGO,CA,92103,GENERAL ACUTE CARE,32.749628069,-117.159769444,http://www.vhsandiego.com/,102,110,0.48977218388308700,1,43.1.251.79,49,29,7.415516294081850,Yes
ALHAMBRA HOSPITAL,100 SOUTH RAYMOND AVENUE,ALHAMBRA,CA,91801,GENERAL ACUTE CARE,34.090215872,-118.144034807,http://www.alhambrahospital.com,53,144,0.40892672710167700,0,52.210.89.106,157,137,0.4077773387226640,No
SAN RAMON REGIONAL MEDICAL CENTER,6001 NORRIS CANYON ROAD,SAN RAMON,CA,94583,GENERAL ACUTE CARE,37.775879489,-121.9581807,http://www.sanramonmedctr.com,92,123,0.21290422541547800,0,230.6.180.224,151,131,0.4361531790791630,No
LOMPOC VALLEY MEDICAL CENTER COMPREHENSIVE CARE CENTER D/P S,216 NORTH THIRD STREET,LOMPOC,CA,93436,GENERAL ACUTE CARE,34.641330845,-120.444777122,NOT AVAILABLE,128,110,0.2901609944176000,1,77.246.195.4,189,169,0.891570466047426,No
BETHESDA REHABILITATION HOSPITAL,8225 SUMMA AVE.,BATON ROUGE,LA,70812,REHABILITATION,30.399226771,-91.099380368,http://www.bethesdarh.com/,86,14,0.42253366978899500,1,122.187.137.118,30,10,6.731266834894500,Yes
SAGE REHABILITATION INSTITUTE,8220 SUMMA AVENUE,BATON ROUGE,LA,70809,REHABILITATION,30.400423609,-91.103817087,http://www.sage-rehab.org,145,27,0.7572325581508470,0,0.93.206.167,167,147,0.469203534385711,No
STERLINGTON REHABILITATION HOSPITAL,370 W. HICKORY STREET,BASTROP,LA,71220,REHABILITATION,32.776376133,-91.919457817,NOT AVAILABLE,78,10,0.363885314194179,1,180.202.3.229,166,146,0.7002387726910100,No
NAVAL HOSPITAL LEMOORE,937 FRANKLIN AVE,LEMOORE,CA,93246,MILITARY,36.2642058010001,-119.893134112,http://www.med.navy.mil/sites/nhlem/pages/index.aspx,73,-999,0.6684438349625650,0,25.100.19.12,147,127,-1.9265196040017600,No
LOS ANGELES AMBULATORY CARE CENTER,351 E TEMPLE ST,LOS ANGELES,CA,90012,MILITARY,34.052015037,-118.238420471,http://www.losangeles.va.gov/,68,-999,0.24349308719099800,1,179.207.81.162,150,130,-1.3880759416116000,No
EXODUS RECOVERY PHF,9808 VENICE BLVD,CULVER CITY,CA,90232,PSYCHIATRIC,34.0234136560001,-118.397947171,http://www.exodusrecoveryinc.com/phf.html,96,16,0.27163193870845500,1,14.164.186.12,144,124,0.6857639402179110,No
UNIVERSITY MEDICAL CENTER NEW ORLEANS,2021 PERDIDO ST.,NEW ORLEANS,LA,70112,GENERAL ACUTE CARE,29.960185762,-90.081948944,http://www.umcno.org/,44,446,0.6542032802069490,0,146.244.161.200,115,95,1.4143038561699600,Yes
LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,1710 BARTON ROAD,REDLANDS,CA,92373,PSYCHIATRIC,34.0494388270001,-117.214083143,http://www.llu.edu,47,89,0.1206168331105280,1,117.133.241.42,22,2,523.4353084165550,Yes
SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,250 PROSPECT PLACE,CORONADO,CA,92118,GENERAL ACUTE CARE,32.694142798,-117.168592207,http://www.sharp.com,135,59,0.6369254707972330,0,47.245.5.105,25,5,159.61846273539900,Yes
VA MEDICAL CENTER - PALO ALTO DIVISION,3801 MIRANDA AVE,PALO ALTO,CA,94304,MILITARY,37.4053530240001,-122.139784645,http://www.paloalto.va.gov/,108,715,0.35388533616086000,1,59.48.187.126,73,53,14.422047687660400,Yes
JEWISH HOME,302 SILVER AVENUE,SAN FRANCISCO,CA,94112,PSYCHIATRIC,37.7277742370001,-122.430891015,http://www.jhsf.org,47,391,0.8463882902451340,0,10.10.176.192,193,173,0.7302040686081490,No
KAISER FND HOSP - SAN FRANCISCO,2425 GEARY BOULEVARD,SAN FRANCISCO,CA,94115,GENERAL ACUTE CARE,37.7822836060001,-122.443253353,http://www.kaiserpermanente.org,128,247,0.37741676305297600,0,169.107.176.118,99,79,2.721635797004780,Yes
ADVENTIST MEDICAL CENTER HANFORD,115 MALL DRIVE,HANFORD,CA,93230,GENERAL ACUTE CARE,36.323633972,-119.667223471,http://www.adventisthealthcv.com/hospital_newhanfordhospital.aspx,112,142,0.25934748819406800,1,137.101.6.229,51,31,8.904387583847290,Yes
FRENCH HOSPITAL MEDICAL CENTER,1911 JOHNSON AVENUE,SAN LUIS OBISPO,CA,93401,GENERAL ACUTE CARE,35.2779315060001,-120.650641412,http://www.frenchmedicalcenter.org,108,103,0.3980220846757500,0,36.21.83.93,69,49,2.5155458195140500,Yes
VA MEDICAL CENTER - MENLO PARK DIVISION,795 WILLOW RD,MENLO PARK,CA,94025,MILITARY,37.465292103,-122.161005159,http://www.paloalto.va.gov/,138,715,0.30199311504918,1,210.148.93.214,151,131,3.5258290264949300,Yes
COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA,147 N. BRENT STREET,VENTURA,CA,93003,GENERAL ACUTE CARE,34.2746459910001,-119.258302632,http://www.cmhshealth.org/,54,242,0.7709078595608380,0,202.91.5.38,119,99,1.0521205964470900,Yes
OJAI VALLEY COMMUNITY HOSPITAL,1306 MARICOPA HIGHWAY,OJAI,CA,93023,GENERAL ACUTE CARE,34.4429151860001,-119.264384312,http://www.cmhhospital.org,100,25,0.3378928071553590,1,239.144.254.179,110,90,0.8232673912320010,No
SANTA ROSA MEMORIAL HOSPITAL-SOTOYOME,151 SOTOYOME STREET,SANTA ROSA,CA,95405,GENERAL ACUTE CARE,38.4417306500001,-122.702460294,http://stjosephhealth.org,117,60,0.04307706477789620,1,68.162.150.7,13,-7,72.15419159361340,Yes
SUTTER MEDICAL CENTER OF SANTA ROSA,3325 CHANATE ROAD,SANTA ROSA,CA,95404,GENERAL ACUTE CARE,38.469621664,-122.707437111,http://www.sutterhealth.org,122,115,0.9145831218553940,1,104.158.161.234,180,160,1.2313149984277000,Yes
SANTA YNEZ VALLEY COTTAGE HOSPITAL,2050 VIBORG ROAD,SOLVANG,CA,93463,GENERAL ACUTE CARE,34.6020827880001,-120.126303888,http://www.cottagehealthsystem.org,98,11,0.9744242836352940,1,215.145.205.81,106,86,1.060089372753290,Yes
ADVENTIST HEALTH ST. HELENA HOSPITAL,10 WOODLAND RD.,ST. HELENA,CA,94574,GENERAL ACUTE CARE,38.5425492860001,-122.47485724,http://www.sthelenahospital.org,84,151,0.6449189132125050,1,41.145.240.168,197,177,1.024891707875050,Yes
ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,CA,94705,GENERAL ACUTE CARE,37.855876369,-122.257265691,http://www.altabatessummit.com,139,347,0.026348720865992600,1,42.242.101.115,64,44,12.97004419514370,Yes
THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,390 40TH STREET,OAKLAND,CA,94609,REHABILITATION,37.828739339,-122.259307148,http://www.altabatessummit.org/thunderroad/,83,50,0.06153355817275650,0,169.139.43.243,189,169,0.10341829689037700,No
VALLEYCARE MEDICAL CENTER,5555 WEST LAS POSITAS BLVD.,PLEASANTON,CA,94588,GENERAL ACUTE CARE,37.693596465,-121.880307614,http://www.valleycare.com,43,167,0.622318244257442,0,17.122.155.107,128,108,0.6189866255580760,No
DAMERON HOSPITAL,525 WEST ACACIA,STOCKTON,CA,95203,GENERAL ACUTE CARE,37.961673262,-121.300982961,http://www.dameronhospital.org,73,202,0.502828590007246,1,215.31.243.13,181,161,1.0358554816862400,Yes
BANNER LASSEN MEDICAL CENTER,1800 SPRING RIDGE DRIVE,SUSANVILLE,CA,96130,GENERAL ACUTE CARE,40.436883277,-120.627728476,http://www.bannerhealth.com/locations/california/banner,120,38,0.3262206907079680,1,169.113.69.40,127,107,0.8622543754002760,No
CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 EAST DUARTE ROAD,DUARTE,CA,91010,GENERAL ACUTE CARE,34.1298015090001,-117.971137969,http://www.cityofhope.org,140,217,0.9955805922090230,1,187.95.141.142,165,145,1.7202635422400600,Yes
GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,1509 EAST WILSON TERRACE,GLENDALE,CA,91206,GENERAL ACUTE CARE,34.1503629690001,-118.23006375,http://www.glendaleadventist.com,62,515,0.9269894675760130,0,237.146.14.174,173,153,1.1454973823419800,Yes
KAISER PERMANENTE BALDWIN PARK MEDICAL CENTER,1011 BALDWIN PARK BLVD.,BALDWIN PARK,CA,91706,GENERAL ACUTE CARE,34.06534422,-117.985695172,http://www.kaiserpermanente.org,125,272,0.4623645151123900,1,80.211.208.177,130,110,2.136140935242150,Yes
KAISER FND HOSP - MENTAL HEALTH CENTER,765 COLLEGE STREET,LOS ANGELES,CA,90012,GENERAL ACUTE CARE,34.0668973360001,-118.243401894,http://www.kaiserpermanente.org,124,68,0.28328692688119000,1,196.20.242.49,46,26,6.87832985397314,Yes
MOTION PICTURE AND TELEVISION HOSPITAL,23388 MULHOLLAND DRIVE,WOODLAND HILLS,CA,91364,GENERAL ACUTE CARE,34.1579782520001,-118.63663587,http://www.mptvfund.org,126,242,0.1439538647766640,0,252.206.152.253,73,53,5.499531222171170,Yes
NORWALK COMMUNITY HOSPITAL,13222 BLOOMFIELD AVENUE,NORWALK,CA,90650,GENERAL ACUTE CARE,33.910671194,-118.064124345,http://www.norwalkhospital.org/,84,50,0.5768807720720010,0,160.202.158.221,81,61,0.8528048042031600,No
MADERA COMMUNITY HOSPITAL,1250 EAST ALMOND AVENUE,MADERA,CA,93637,GENERAL ACUTE CARE,36.9438121160001,-120.0446582,http://www.maderahospital.org,134,106,0.2915793057210190,0,129.26.132.210,118,98,0.8852732013819590,No
EL CAMINO HOSPITAL,2500 GRANT ROAD,MOUNTAIN VIEW,CA,94040,GENERAL ACUTE CARE,37.3694588220001,-122.079995668,http://www.elcaminohospital.org,55,300,0.1702798216573410,1,217.50.78.145,94,74,2.091714052537950,Yes
KAISER PERMANENTE P.H.F - SANTA CLARA,3840 HOMESTEAD ROAD,SANTA CLARA,CA,95051,PSYCHIATRIC,37.336332601,-122.002031407,http://www.kaiserpermanente.org,90,24,0.08801813774008720,1,189.42.41.167,79,59,0.8542647425270390,No
ST. LOUISE REGIONAL HOSPITAL,9400 NO NAME UNO,GILROY,CA,95020,GENERAL ACUTE CARE,37.036558364,-121.571371037,http://www.dochs.org,62,93,0.37360650565784700,0,159.178.14.127,160,140,0.33389508956361700,No
DOMINICAN HOSPITAL-SANTA CRUZ/FREDERICK,610 FREDERICK STREET,SANTA CRUZ,CA,95062,GENERAL ACUTE CARE,36.9797036090001,-122.00330953,http://www.dominicanhospital.org,147,57,0.7737296402522070,0,159.29.120.223,51,31,4.746386152071990,Yes
SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ,2900 CHANTICLEER AVENUE,SANTA CRUZ,CA,95065,GENERAL ACUTE CARE,36.987699757,-121.977416617,http://www.suttermatsurg.org,48,30,0.9520289932442500,1,31.208.128.168,62,42,1.3841777619282500,Yes
WATSONVILLE COMMUNITY HOSPITAL,75 NIELSON STREET,WATSONVILLE,CA,95076,GENERAL ACUTE CARE,36.927130666,-121.792911066,http://www.watsonvillehospital.com,44,106,0.0012701223165039200,0,0.230.210.233,148,128,0.14296904553325200,No
BURLINGAME HEALTH CARE CENTER D/P SNF,1100 TROUSDALE DRIVE,BURLINGAME,CA,94010,GENERAL ACUTE CARE,37.5955287,-122.382845793,http://www.sanmateomedicalcenter.org,96,281,0.13253349650617600,0,147.147.131.40,120,100,1.4150667482530900,Yes
MILLS-PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,GENERAL ACUTE CARE,37.592512749,-122.382323604,http://www.mills-peninsula.org,84,241,0.897643320853671,1,70.155.79.69,132,112,1.7557413032839800,Yes
SEQUOIA HOSPITAL,170 ALAMEDA DE LAS PULGAS,REDWOOD CITY,CA,94062,GENERAL ACUTE CARE,37.4793650190001,-122.254884344,http://www.sequoiahospital.org,46,208,0.9935991429213740,0,100.166.142.241,141,121,0.823553208507337,No
SETON MEDICAL CENTER,1900 SULLIVAN AVENUE,DALY CITY,CA,94015,GENERAL ACUTE CARE,37.679885041,-122.474237571,http://www.setonmedicalcenter.org,57,357,0.5775321083298340,0,167.199.142.169,36,16,40.03290667916490,Yes
SETON MEDICAL CENTER - COASTSIDE,600 MARINE BOULEVARD,MOSS BEACH,CA,94038,GENERAL ACUTE CARE,37.526391447,-122.507276616,http://www.setonmedicalcenter.org,79,121,0.7057237524596210,0,202.196.242.70,191,171,0.5163138785553120,No
NOVATO COMMUNITY HOSPITAL,180 ROLAND WAY,NOVATO,CA,94945,GENERAL ACUTE CARE,38.0992549150001,-122.56002452,http://www.novatocommunity.sutterhealth.org,99,47,0.5850114647567120,1,102.163.186.71,192,172,0.8711462137196220,No
COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,2823 FRESNO AND R STREETS,FRESNO,CA,93721,GENERAL ACUTE CARE,36.743890379,-119.785239804,http://www.communitymedical.org,87,685,0.08215934775203240,1,227.3.229.129,129,109,3.0490756338120500,Yes
