NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTRY,LATITUDE,LONGITUDE,WEBSITE,TTL_STAFF,BEDS,TRAUMA,HELIPAD,IP Address,No of Access Points connected,Patients,Suggestive_Factor,Recommended
JASPER MEMORIAL HOSPITAL,898 COLLEGE STREET,MONTICELLO,GA,31064,GENERAL ACUTE CARE,USA,33.3141925840001,-83.686482115,http://www.jaspermemorialhospital.org,105,17,0.011418870876822500,0,109.201.230.192,154,92.4,0.11024505133766300,No
EMORY LONG TERM CARE,450 NORTH CANDLER STREET,DECATUR,GA,30030,LONG TERM CARE,USA,33.7774700000001,-84.2929169559999,http://www.dekalbmedical.org/locations/locations-module/dekalb-medical-downtown-decatur/,58,76,0.42020950251257500,1,86.20.107.191,56,33.600000000000000,2.6623439802812300,Yes
OCHSNER MEDICAL CENTER-WEST BANK,120 OSCHNER BLVD,GRETNA,LA,70056,GENERAL ACUTE CARE,USA,29.884312607,-90.0276060419999,http://www.ochsner.org/locations/west_bank/,51,180,0.07789579144269450,1,4.224.201.21,18,10.8,10.0,Yes
WEST CARROLL MEMORIAL HOSPITAL,706 ROSS ST,OAK GROVE,LA,71263,GENERAL ACUTE CARE,USA,32.8682987380001,-91.382381986,wchsystems.com/,139,21,0.996012964395923,0,240.102.14.46,180,108.0,0.6231350830210070,No
WK BOSSIER HEALTH CENTER,2400 HOSPITAL DR,BOSSIER CITY,LA,71111,GENERAL ACUTE CARE,USA,32.5583302700001,-93.718205857,http://www.wkhs.com/wkb/,81,134,0.2716041363577590,0,31.80.148.113,129,77.4,1.0416971465996500,Yes
ACADIA-ST. LANDRY HOSPITAL,810 S BROADWAY ST,CHURCH POINT,LA,70525,GENERAL ACUTE CARE,USA,30.3955956250001,-92.211149816,http://www.aslh.org,98,25,0.7517083353600440,0,223.52.151.185,76,45.600000000000000,0.9649777441650940,No
OCHSNER MEDICAL CENTER-NORTH SHORE,100 MEDICAL CENTER DR,SLIDELL,LA,70461,GENERAL ACUTE CARE,USA,30.287185687,-89.7426567799999,http://www.ochsner.org/locations/northshore,134,110,0.32118769716019200,1,241.96.146.88,97,58.200000000000000,2.8364066046883100,Yes
JENNINGS AMERICAN LEGION HOSPITAL,1634 ELTON RD,JENNINGS,LA,70546,GENERAL ACUTE CARE,USA,30.2394413480001,-92.662935136,http://www.jalh.com,54,60,0.6531599129651440,0,68.84.97.205,113,67.8,0.6789959640007800,No
ST. MARTIN HOSPITAL,210 CHAMPAGNE BLVD,BREAUX BRIDGE,LA,70517,GENERAL ACUTE CARE,USA,30.282792091,-91.889858276,http://www.stmartinhospital.org,116,25,0.31923241733357900,1,172.254.148.170,39,23.4,3.3077278311373900,Yes
WILLIS-KNIGHTON MEDICAL CENTER,2600 GREENWOOD RD,SHREVEPORT,LA,71103,GENERAL ACUTE CARE,USA,32.48441774,-93.779917203,http://www.wkhs.com,77,896,0.38848398787537900,0,27.127.118.91,150,90.0,4.4530074260364500,Yes
SACRED HEART HSPTL,900 W CLAIREMONT AVE,EAU CLAIRE,WI,54701,GENERAL ACUTE CARE,USA,44.7944657740001,-91.510666756,http://www.sacredhearteauclaire.org,121,344,0.36790335639314700,0,226.32.26.69,197,118.20000000000000,1.6735832355959200,Yes
UPLAND HILLS HLTH,800 COMPASSION WAY,DODGEVILLE,WI,53533,GENERAL ACUTE CARE,USA,42.9513239610001,-90.129462769,http://www.uplandhillshealth.org,114,25,0.4796440420205090,0,235.40.10.79,101,60.600000000000000,0.6278558739004940,No
RICHLAND HSPTL,333 E SECOND ST,RICHLAND CENTER,WI,53581,GENERAL ACUTE CARE,USA,43.338702283,-90.382274339,http://www.richlandhospital.com,81,25,0.26045956538077600,1,187.14.92.16,117,70.20000000000000,0.8356867189165550,No
ST JOSEPHS COMMUNITY HOSPITAL OF WEST BEND INC,3200 PLEASANT VALLEY ROAD,WEST BEND,WI,53095,GENERAL ACUTE CARE,USA,43.355758838,-88.195096963,http://www.stjosephswbclinic.com,150,70,0.6675726003236190,0,94.239.53.120,106,63.600000000000000,1.6316977751825800,Yes
THEDACARE MEDICAL CENTER WILD ROSE COM MEM HOSPITAL INC,"601 GROVE AVE, PO BOX 243",WILD ROSE,WI,54984,GENERAL ACUTE CARE,USA,44.183560533,-89.246059501,http://www.wildrosehospital.org,137,25,0.35693489721259300,1,241.205.65.156,111,66.6,1.0645517310869800,Yes
MONTCLAIR HOSPITAL MEDICAL CENTER,5000 SAN BERNARDINO STREET,MONTCLAIR,CA,91763,GENERAL ACUTE CARE,USA,34.078757766,-117.695976573,http://www.montclair-hospital.org/,135,102,0.4892756986268700,1,105.184.42.193,195,117.0,1.2475964291950900,Yes
USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BOULEVARD,GLENDALE,CA,91208,GENERAL ACUTE CARE,USA,34.2048888570001,-118.215980012,http://uscvhh.org/,99,158,0.627252645007156,0,169.119.142.35,16,9.6,10.0,Yes
CHILDRENS HEALTHCARE OF ATLANTA AT SCOTTISH RITE,1001 JOHNSON FERRY RD,ATLANTA,GA,30342,CHILDREN,USA,33.9060816410001,-84.353951837,http://www.choa.org/,116,319,0.06549801124900780,1,160.60.122.81,163,97.8,2.4671253255629500,Yes
EMORY DECATUR HOSPITAL,2701 N DECATUR ROAD,DECATUR,GA,30033,GENERAL ACUTE CARE,USA,33.791089135,-84.2829100989999,http://www.dekalbmedical.org/,131,451,0.1609614040670260,0,213.57.27.145,15,9.0,10.0,Yes
ROGERS MEMORIAL HOSPITAL BROWN DEER,4600 W SCHROEDER DRIVE,BROWN DEER,WI,53223,PSYCHIATRIC,USA,43.1873094050001,-87.967626196,https://rogershospital.org/locations/brown-deer,70,56,0.4194797204670840,0,122.68.252.252,100,60.0,0.7541843046779870,No
RIDGECREST REGIONAL HOSPITAL TRANSITIONAL CARE & REHABILITATION,1131 NO. CHINA LAKE BOULEVARD,RIDGECREST,CA,93555,REHABILITATION,USA,35.640900451,-117.672631053,http://rrh.org/hospital-services/tcru/,59,99,0.3373544179395610,1,88.98.164.6,187,112.2,0.900668401168585,No
MEDSTAR WASHINGTON HOSPITAL CENTER,110 IRVING STREET NW,WASHINGTON,DC,20010,GENERAL ACUTE CARE,USA,38.9296519440001,-77.015648297,http://www.whcenter.org/,102,926,0.7318684249438220,1,98.127.89.4,72,43.2,10.0,Yes
GEORGE WASHINGTON UNIVERSITY HOSPITAL,900 23RD STREET NW,WASHINGTON,DC,20037,GENERAL ACUTE CARE,USA,38.901319008,-77.050636676,http://gwhospital.com/,69,339,0.27540084354591400,0,219.220.135.99,35,21.0,10.0,Yes
HAYWARD AREA MEMORIAL HOSPITAL,11040 N STATE RD 77,HAYWARD,WI,54843,GENERAL ACUTE CARE,USA,46.0347967970001,-91.485746875,http://www.hamhnh.com,62,25,0.8998490264526190,0,129.184.203.33,48,28.800000000000000,1.3842898681645800,Yes
BETHESDA HOSPITAL WEST,9655 W BOYNTON BEACH BLVD,BOYNTON BEACH,FL,33472,GENERAL ACUTE CARE,USA,26.5297280450001,-80.199767724,http://www.bethesdawest.org/,107,401,0.33001538945345700,1,9.129.11.21,187,112.2,2.3691758309489700,Yes
BAYFRONT HEALTH BROOKSVILLE,17240 CORTEZ BLVD,BROOKSVILLE,FL,34601,GENERAL ACUTE CARE,USA,28.5388338240001,-82.443491598,www.bayfrontbrooksville.com,127,120,0.15957090720775100,1,28.224.152.41,83,49.8,3.652316541812130,Yes
96TH MEDICAL GROUP-EGLIN HOSPITAL,307 BOATNER RD,EGLIN AFB,FL,32542,MILITARY,USA,30.4608398550001,-86.555232652,http://www.eglin.af.mil/units/eglinhospital.asp,90,-999,0.04616028419899340,0,85.135.206.82,112,67.20000000000000,0.0,No
CHILDRENS HOSPITAL COLORADO SOUTH CAMPUS,1811 PLAZA DRIVE,HIGHLANDS RANCH,CO,80129,CHILDREN,USA,39.5573325030001,-105.01001289,http://www.childrenscolorado.org/about/locations/highlands-ranch,96,16,0.3856065834509790,0,29.24.114.241,99,59.4,0.4104681558550000,No
LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,1475 W 49TH ST,HIALEAH,FL,33012,GENERAL ACUTE CARE,USA,25.868542426,-80.312269678,http://www.psghosp.com,106,247,0.9128974009751730,0,250.217.245.121,124,74.4,2.8214258654777600,Yes
UF HEALTH JACKSONVILLE,655 W 8TH ST,JACKSONVILLE,FL,32209,GENERAL ACUTE CARE,USA,30.3485052390001,-81.664274824,http://ufhealthjax.org/,147,603,0.4553720381406810,1,55.66.126.207,170,102.0,4.987634115956150,Yes
LEESBURG REHABILITATION HOSPITAL,700 N PALMETTO ST,LEESBURG,FL,34748,GENERAL ACUTE CARE,USA,28.818101859,-81.874400217,http://www.cfhalliance.org/services-rehab-acute.html,138,90,0.5877275530420280,1,176.230.75.21,187,112.2,1.2871578369745600,Yes
FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,30 WARREN STREET,BOSTON,MA,2135,CHILDREN,USA,42.3499728210001,-71.142631044,http://franciscanchildrens.org/,133,112,0.6638803747456870,1,101.26.98.68,100,60.0,2.9008290762617300,Yes
AVERA HOLY FAMILY HOSPITAL,826 NORTH 8TH STREET,ESTHERVILLE,IA,51334,CRITICAL ACCESS,USA,43.409986668,-94.8336579159999,http://www.avera-holyfamily.org,129,25,0.8041529892979290,1,254.126.60.229,21,12.6,10.0,Yes
MERCY MEDICAL CENTER-DYERSVILLE,1111 3RD STREET SW,DYERSVILLE,IA,52040,CRITICAL ACCESS,USA,42.475627138,-91.130535681,http://www.mercydubuque.com/mercy-dyersville,144,25,0.27430275815455500,0,235.133.99.101,22,13.2,10.0,Yes
FLOYD COUNTY MEMORIAL HOSPITAL,800 11TH ST,CHARLES CITY,IA,50616,CRITICAL ACCESS,USA,43.051454645,-92.683643714,http://www.fcmc.us.com/,105,25,0.24938506365909700,1,133.135.178.174,24,14.400000000000000,6.954264291088810,Yes
ASPIRE HEALTH PARTNERS INC,1800 MERCY DR,ORLANDO,FL,32808,PSYCHIATRIC,USA,28.5676328920001,-81.434244883,http://aspirehealthpartners.com/,89,90,0.14966734369480200,1,219.38.24.148,174,104.40000000000000,0.9422864397163400,No
BAYFRONT HEALTH PUNTA GORDA,809 E MARION AVE,PUNTA GORDA,FL,33950,GENERAL ACUTE CARE,USA,26.9409464170001,-82.040277401,http://www.rmchealth.com,66,280,0.7809346254752840,1,147.210.166.195,10,6.0,10.0,Yes
ST JOSEPH'S HOSPITAL SOUTH,6901 SIMMONS LOOP,RIVERVIEW,FL,33578,GENERAL ACUTE CARE,USA,27.787781212,-82.34510464,https://www.baycare.org/sjhs,131,114,0.22903049296649500,1,66.76.233.188,196,117.6,1.1544378481769900,Yes
ADVENTHEALTH WESLEY CHAPEL,2600 BRUCE B DOWNS BLVD,WESLEY CHAPEL,FL,33544,GENERAL ACUTE CARE,USA,28.195624133,-82.351142607,https://www.floridahospital.com/wesley-chapel,65,145,0.9072548448157880,1,22.238.180.230,21,12.6,10.0,Yes
UNIVERSITY OF MIAMI HOSPITAL AND CLINICS,1475 NW 12TH AVE,MIAMI,FL,33136,SPECIAL,USA,25.7882977530001,-80.215652506,http://www.uhealthsystem.com,50,40,0.33109870190488500,0,14.164.40.77,108,64.8,0.4036990232584930,No
NORTH TAMPA BEHAVIORAL HEALTH,29910 SR 56,WESLEY CHAPEL,FL,33543,PSYCHIATRIC,USA,28.2003665390001,-82.3238114179999,http://www.northtampabehavioralhealth.com/,87,126,0.8034101341049550,0,92.171.19.97,190,114.0,0.8234502194070480,No
WINTER HAVEN WOMEN'S HOSPITAL,101 AVE O SE,WINTER HAVEN,FL,33880,GENERAL ACUTE CARE,USA,28.0089756850001,-81.7261778559999,http://www.winterhavenhospital.org/facilities/rcwi/,115,61,0.2702163957174540,1,79.128.122.166,75,45.0,2.3672069632908300,Yes
FORT MADISON COMMUNITY HOSPITAL,5445 AVENUE O,FORT MADISON,IA,52627,GENERAL ACUTE CARE,USA,40.625806771,-91.384313374,http://www.fmchosp.com,77,50,0.9512149062429390,1,247.238.227.21,82,49.200000000000000,1.7708516860516000,Yes
STORY COUNTY HOSPITAL NORTH,640 6TH STREET,NEVADA,IA,50201,GENERAL ACUTE CARE,USA,42.017098268,-93.452764762,http://www.storymedical.org,86,17,0.7872321503749130,0,51.53.67.133,66,39.600000000000000,0.8597674883085660,No
STORY CITY MEMORIAL HOSPITAL,812 ELM AVENUE,STORY CITY,IA,50248,GENERAL ACUTE CARE,USA,42.1900792550001,-93.5941180569999,NOT AVAILABLE,106,25,0.3937346108437550,0,176.101.244.164,29,17.4,4.573271057568790,Yes
TRINITY REGIONAL HOSPITAL,802 SOUTH KENYON ROAD,FORT DODGE,IA,50501,GENERAL ACUTE CARE,USA,42.492210175,-94.192179572,http://www.unitypoint.org/fortdodge/default.aspx,65,200,0.897290801863483,1,121.158.176.87,193,115.8,1.4333713145282300,Yes
HANSEN FAMILY HOSPITAL,920 SOUTH OAK STREET,IOWA FALLS,IA,50126,CRITICAL ACCESS,USA,42.5006957530001,-93.2606865559999,http://www.hansenfamilyhospital.com/,96,35,0.40481361930751300,1,63.192.19.137,99,59.4,1.178548699937060,Yes
JONES REGIONAL MEDICAL CENTER,1795 HIGHWAY 64 EAST,ANAMOSA,IA,52205,CRITICAL ACCESS,USA,42.1015127470001,-91.262614849,NOT AVAILABLE,133,22,0.6696906740482380,0,183.87.227.159,107,64.20000000000000,0.689801131319594,No
PELLA REGIONAL HEALTH CENTER,404 JEFFERSON STREET,PELLA,IA,50219,CRITICAL ACCESS,USA,41.4130032400001,-92.910922564,http://www.pellahealth.org,66,25,0.13429480862934400,1,17.53.110.19,174,104.40000000000000,0.6428399220404840,No
SIOUX CENTER HEALTH,1101 9TH ST SE,SIOUX CENTER,IA,51250,CRITICAL ACCESS,USA,43.0684930370001,-96.15806865,http://siouxcenterhealth.org/,93,21,0.38297384870237700,0,96.120.81.174,80,48.0,0.6153150493511890,No
CARIBOU MEMORIAL HOSPITAL AND LIVING CENTER,300 SOUTH THIRD WEST,SODA SPRINGS,ID,83276,GENERAL ACUTE CARE,USA,42.6514905230001,-111.614735712,http://www.cariboumemorial.org,135,25,0.7504559053862010,0,11.245.155.82,151,90.6,0.5808110411541330,No
ST. LUKE'S ELMORE,895 NORTH 6TH EAST,MOUNTAIN HOME,ID,83647,CRITICAL ACCESS,USA,43.13889106,-115.693596287,https://www.stlukesonline.org/communities-and-locations/facilities/hospitals-and-medical-centers/st-lukes-elmore-medical-center,112,25,0.30719345680455200,0,52.139.58.111,142,85.20000000000000,0.34645969650825200,No
MERIDIAN SERVICES CORP,2401 W UNIVERSITY AVE,MUNCIE,IN,47303,PSYCHIATRIC,USA,40.196783483,-85.414812362,http://www.meridianhs.org,40,16,0.15976188502570500,1,55.111.173.78,97,58.200000000000000,0.6743531381647700,No
SPAULDING HOSPITAL FOR CONTINUING MED CARE CAMBRIDGE,1575 CAMBRIDGE STREET,CAMBRIDGE,MA,2138,REHABILITATION,USA,42.3753221040001,-71.106943456,http://spauldingrehab.org/locations/cambridge-ma/,97,180,0.8362672286028750,1,222.44.233.152,196,117.6,1.5493810112193900,Yes
WESTERN MASSACHUSETTS HOSPITAL,91 EAST MOUNTAIN RD,WESTFIELD,MA,1085,LONG TERM CARE,USA,42.110369732,-72.700910118,http://www.mass.gov/eohhs/gov/departments/dph/programs/hospitals/western-massachusetts-hospital.html,80,100,0.6713436864020820,0,117.216.242.237,145,87.0,0.8641432396867060,No
ELLINWOOD DISTRICT HOSPITAL,605 N MAIN STREET,ELLINWOOD,KS,67526,CRITICAL ACCESS,USA,38.3603282070001,-98.5806494719999,http://www.ellinwood.org,146,25,0.36724607836617600,1,240.180.166.181,118,70.8,1.0477026459372100,Yes
HORTON COMMUNITY HOSPITAL,240 WEST 18TH STREET,HORTON,KS,66439,CRITICAL ACCESS,USA,39.6732742200001,-95.5304938089999,http://www.horton-hospital.com,49,25,0.07455989717435560,1,253.10.201.250,176,105.6,0.5922059845146340,No
KINGMAN COMMUNITY HOSPITAL,750 W AVE D,KINGMAN,KS,67068,CRITICAL ACCESS,USA,37.6476486760001,-98.123219981,http://www.kchks.com,46,25,0.4994124245823090,0,219.155.246.122,189,113.40000000000000,0.2944200283159640,No
SELECT SPECIALTY HOSPITAL OF KS CITY,1731 NORTH 90TH STREET,KANSAS CITY,KS,66112,LONG TERM CARE,USA,39.124313887,-94.786855643,http://www.selectspecialtyhospitals.com,84,40,0.02448970743681810,1,129.168.137.131,10,6.0,10.0,Yes
STEVENS COUNTY HOSPITAL,1006 S JACKSON,HUGOTON,KS,67951,CRITICAL ACCESS,USA,37.1711117420001,-101.349186295,http://www.healthcarefor the heartland.org,144,100,0.26338098654075500,1,131.193.174.25,37,22.2,10.0,Yes
SUSAN B ALLEN MEMORIAL HOSPITAL,720 W CENTRAL ST,EL DORADO,KS,67042,GENERAL ACUTE CARE,USA,37.8182842100001,-96.858900297,http://www.sbamh.com,141,68,0.7064422972913540,0,150.214.3.58,134,80.4,1.0948488311287800,Yes
JOHNS HOPKINS HOSPITAL,600 NORTH WOLFE STREET,BALTIMORE,MD,21287,GENERAL ACUTE CARE,USA,39.2961086980001,-76.591972219,http://www.hopkinsmedicine.org,134,951,0.18625387033356700,0,110.125.162.35,73,43.8,10.0,Yes
DE QUEEN MEDICAL CENTER,1306 WEST COLLIN RAYE DRIVE,DE QUEEN,AR,71832,CRITICAL ACCESS,USA,34.0481007920001,-94.3525828419999,http://www.dequeenhospital.com,77,35,0.5101780247396020,1,154.94.145.204,125,75.0,0.9946445679253560,No
VALLEY BEHAVIORAL HEALTH SYSTEM,10301 MAYO ROAD,BARLING,AR,72923,PSYCHIATRIC,USA,35.3413375270001,-94.31306819,http://www.vistahealthservices.com,108,75,0.5953183135739360,0,155.59.210.217,189,113.40000000000000,0.6125999479182350,No
HOLY FAMILY MEMORIAL INC,"2300 WESTERN AVE, PO BOX 1450",MANITOWOC,WI,54221,GENERAL ACUTE CARE,USA,44.0946546580001,-87.676495777,http://www.hfmhealth.org,84,167,0.2603298295135700,1,92.182.129.4,55,33.0,7.070936264619050,Yes
RIVENDELL BEHAVIORAL HEALTH SERVICES,100 RIVENDELL DRIVE,BENTON,AR,72019,PSYCHIATRIC,USA,34.613845978,-92.532931331,http://www.rivendellofarkansas.com,134,77,0.25119663657287200,0,22.183.33.206,144,86.4,0.8166937829640760,No
ST. BERNARDS BEHAVIORAL HEALTH,2712 EAST JOHNSON AVENUE,JONESBORO,AR,72401,PSYCHIATRIC,USA,35.8522148230001,-90.669789258,http://www.sbrmc.com/,149,60,0.6626183847537340,1,55.210.166.35,54,32.4,5.089425333209060,Yes
ST. BERNARDS MEDICAL CENTER,225 EAST JACKSON AVENUE,JONESBORO,AR,72401,GENERAL ACUTE CARE,USA,35.8364980210001,-90.702618582,http://www.sbrmc.com/,78,378,0.022067160318442900,0,113.129.45.253,113,67.8,3.2180192485749200,Yes
ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,71635,CRITICAL ACCESS,USA,33.138454159,-91.9387990499999,http://www.acmconline.org,141,33,0.9142789836839580,0,173.51.15.7,94,56.4,1.1885224705653800,Yes
GREAT RIVER MEDICAL CENTER,1520 NORTH DIVISION STREET,BLYTHEVILLE,AR,72315,GENERAL ACUTE CARE,USA,35.9430199330001,-89.917311252,http://www.mchsys.org/getpage.php?name=greatriver,84,168,0.1403027827337630,0,61.127.234.206,35,21.0,10.0,Yes
NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,GENERAL ACUTE CARE,USA,34.486105111,-93.0353852709999,http://www.nationalparkmedical.com,120,166,0.5457404573792080,0,164.110.154.220,107,64.20000000000000,2.689384043578820,Yes
HOWARD YOUNG MED CTR,"240 MAPLE ST, PO BOX 470",WOODRUFF,WI,54568,GENERAL ACUTE CARE,USA,45.8935042740001,-89.702538519,http://www.ministryhealth.org,100,99,0.7481216358080770,1,183.126.43.231,190,114.0,1.2549472444968400,Yes
LITTLE RIVER MEMORIAL HOSPITAL,451 WEST LOCKE STREET,ASHDOWN,AR,71822,CRITICAL ACCESS,USA,33.6692528180001,-94.1348520239999,http://littlerivercounty.org/index.php/component/contact/34-hospital/98-little-river-memorial-hospital,145,25,0.9437613810474990,0,139.241.13.144,51,30.600000000000000,2.4075678194058000,Yes
HSHS ST CLARE MEMORIAL HOSPITAL,855 S MAIN ST,OCONTO FALLS,WI,54154,CRITICAL ACCESS,USA,44.865334546,-88.1276934429999,http://www.stclarememorial.org/,109,25,0.7901770207988770,1,130.73.72.25,70,42.0,1.6674808006488700,Yes
MERCY ORTHOPEDIC HOSPITAL FORT SMITH,3601 SOUTH 79TH STREET,FORT SMITH,AR,72903,GENERAL ACUTE CARE,USA,35.347456976,-94.343453215,https://www.mercy.net/practice/mercy-orthopedic-hospital-fort-smith,63,24,0.46794364583881,1,59.159.35.158,43,25.8,1.8697208764618600,Yes
NORTHWEST MED CENTER,6200 N LACHOLLA BLVD,TUCSON,AZ,85741,GENERAL ACUTE CARE,USA,32.3200039990001,-111.010122721,http://www.northwestmedicalcenter.com,125,295,0.15125121066376800,0,109.85.190.209,142,85.20000000000000,2.615562015656120,Yes
PARKWAY REGIONAL HOSPITAL,2000 HOLIDAY LANE,FULTON,KY,42041,GENERAL ACUTE CARE,USA,36.51903178,-88.8956740579999,http://www.parkwayregionalhospital.com,141,70,0.26797039736233100,1,94.67.12.54,110,66.0,1.7669053088740000,Yes
HARDIN MEMORIAL HOSPITAL,913 N DIXIE AVENUE,ELIZABETHTOWN,KY,42701,GENERAL ACUTE CARE,USA,37.7099441,-85.876296328,http://www.hmh.net/hmhwebsite/location.aspx?pageid=4,80,285,0.33508445315766300,1,76.50.161.6,101,60.600000000000000,3.7718130497007500,Yes
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHERN KENTUCKY,201 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,REHABILITATION,USA,39.0126122660001,-84.5666151949999,http://www.healthsouthkentucky.com,46,51,0.7269031480860050,0,249.205.70.167,80,48.0,0.872566157376336,No
OHIO COUNTY HOSPITAL,1211 OLD MAIN ST.,HARTFORD,KY,42347,CRITICAL ACCESS,USA,37.448466985,-86.8964476849999,http://www.ohiocountyhospital.com,98,25,0.8921171418725030,0,125.68.28.183,159,95.4,0.580656797975442,No
NORTHWEST HEALTH PHYSICIANS' SPECIALTY HOSPITAL,3873 NORTH PARKVIEW DRIVE,FAYETTEVILLE,AR,72703,GENERAL ACUTE CARE,USA,36.121326364,-94.134039597,NOT AVAILABLE,111,20,0.27196273331584900,0,36.173.89.214,139,83.4,0.295565929223699,No
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,1100 CARSON AVENUE,LA JUNTA,CO,81050,GENERAL ACUTE CARE,USA,37.97806683,-103.549578789,www.avrmc.org,135,78,0.8292748639118400,0,125.38.48.97,177,106.2,0.8814573113009360,No
UNIVERSITY OF COLORADO HEALTH AT MEMORIAL HOSPITAL CENTRAL,1400 E BOULDER ST,COLORADO SPRINGS,CO,80909,GENERAL ACUTE CARE,USA,38.839466626,-104.799453611,NOT AVAILABLE,141,583,0.09738849179449630,1,165.122.7.84,50,30.0,10.0,Yes
MCLEAN HOSPITAL CORPORATION,115 MILL STREET,BELMONT,MA,2478,PSYCHIATRIC,USA,42.3937302090001,-71.191295349,http://www.mcleanhospital.org/,69,294,0.6455265443494020,0,1.139.182.147,198,118.8,1.0414399378210600,Yes
PAPPAS REHABILITATION HOSPITAL FOR CHILDREN,3 RANDOLPH STREET,CANTON,MA,2021,CHILDREN,USA,42.175990535,-71.125256259,http://www.mass.gov/eohhs/gov/departments/dph/programs/hospitals/mass-hospital-school.html,63,-999,0.7055270888046850,1,204.47.80.41,78,46.8,0.0,No
UNIV OF MD REHABILITATION & ORTHOPAEDIC INSTITUTE,2200 KERNAN DRIVE,BALTIMORE,MD,21207,GENERAL ACUTE CARE,USA,39.3137642350001,-76.7079634959999,http://umrehabortho.org/,43,138,0.02461334208200370,0,209.97.238.68,158,94.8,0.34244874229026700,No
UNIVERSITY OF M D UPPER CHESAPEAKE MEDICAL CENTER,500 UPPER CHESAPEAKE DRIVE,BEL AIR,MD,21014,GENERAL ACUTE CARE,USA,39.519578042,-76.345725783,http://www.uchs.org,108,170,0.11400582231946400,1,98.243.44.249,87,52.200000000000000,3.926008063755850,Yes
EDWARD MCCREADY MEMORIAL HOSPITAL,201 HALL HIGHWAY,CRISFIELD,MD,21817,GENERAL ACUTE CARE,USA,37.9975579090001,-75.8525548809999,http://www.mccreadyfoundation.org,65,89,0.15694370140500800,1,85.250.228.216,159,95.4,0.8962884806705520,No
ENCOMPASS HEALTH REHAB HOSPITAL OF SALISBURY,220 TILGHMAN ROAD,SALISBURY,MD,21801,REHABILITATION,USA,38.369241335,-75.548623987,http://www.healthsouthchesapeake.com,143,54,0.8453989831385680,1,224.129.163.73,122,73.20000000000000,1.6432719183362800,Yes
NORTHERN LIGHT HEALTH,144 STATE STREET,PORTLAND,ME,4101,GENERAL ACUTE CARE,USA,43.651332924,-70.264949703,http://www.mercyhospitalstories.org/cms/,110,230,0.5397093748114840,0,235.81.55.97,150,90.0,1.8315830824674700,Yes
VA MEDICAL CENTER - BATTLE CREEK,5500 ARMSRTONG RD,BATTLE CREEK,MI,49037,MILITARY,USA,42.3434272000001,-85.2913317429999,http://www.battlecreek.va.gov/,62,-999,0.19472704239152800,1,247.221.28.177,112,67.20000000000000,0.0,No
SHERIDAN COMMUNITY HOSPITAL,301 N MAIN ST,SHERIDAN,MI,48884,CRITICAL ACCESS,USA,43.2159485270001,-85.074161841,http://www.sheridanhospital.com,150,22,0.6024933632451780,1,20.37.49.4,127,76.20000000000000,1.0854139166237300,Yes
MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,1140 N STATE STREET,SAINT IGNACE,MI,49781,CRITICAL ACCESS,USA,45.8906314640001,-84.729450922,http://www.mshosp.org,142,15,0.2042317472921090,1,12.245.41.237,16,9.6,10.0,Yes
PROMEDICA BIXBY HOSPITAL,818 RIVERSIDE AVENUE,ADRIAN,MI,49221,GENERAL ACUTE CARE,USA,41.9136643350001,-84.049104023,http://www.promedica.org,121,88,0.6234985827014840,0,225.119.162.2,194,116.40000000000000,0.704694580140435,No
SPARROW HEALTH SYSTEM-ST LAWRENCE CAMPUS,1210 W SAGINAW,LANSING,MI,48915,GENERAL ACUTE CARE,USA,42.7415196490001,-84.569991795,http://www.sparrow.org/?id=528&sid=1,84,50,0.8509773069454010,0,108.75.223.190,14,8.400000000000000,10.0,Yes
ASCENSION STANDISH COMMUNITY HOSPITAL,805 W CEDAR ST,STANDISH,MI,48658,CRITICAL ACCESS,USA,43.9818656800001,-83.969216704,http://www.stmarysofmichigan.org/standish,45,25,0.9841873573696330,1,54.109.186.235,196,117.6,1.032766835702730,Yes
NORTH OTTAWA COMMUNITY HOSPITAL,1309 SHELDON RD,GRAND HAVEN,MI,49417,GENERAL ACUTE CARE,USA,43.0507726210001,-86.228829176,http://www.noch.org,137,81,0.43968797694302000,1,205.8.239.66,95,57.0,2.4276002211584900,Yes
STRAITH HOSPITAL FOR SPECIAL SURGERY,23901 LAHSER,SOUTHFIELD,MI,48033,GENERAL ACUTE CARE,USA,42.464632759,-83.261355155,http://straith.org/,149,34,0.0030789581283136000,1,127.78.214.195,92,55.200000000000000,1.3328380507927900,Yes
OAKLAND REGIONAL HOSPITAL,22401 FOSTER WINTER DRIVE,SOUTHFIELD,MI,48075,GENERAL ACUTE CARE,USA,42.4574933310001,-83.2031968319999,http://www.oaklandregionalhospital.com,49,45,0.3598118283623300,0,225.107.62.111,53,31.800000000000000,1.270151553198610,Yes
